"created_at","academia_name","path_name"
'2022-11-05 23:53:06.043',"associates degree","aerospace engineering and operations technicians"
'2022-11-05 23:53:06.043',"bachelors degree","aerospace engineers"
'2022-11-05 23:53:06.043',"bachelors degree","agricultural engineers"
'2022-11-05 23:53:06.043',"bachelors degree","architects"
'2022-11-05 23:53:06.043',"internship","architects"
'2022-11-05 23:53:06.043',"residency","architects"
'2022-11-05 23:53:06.043',"bachelors degree","biomedical engineers"
'2022-11-05 23:53:06.043',"bachelors degree","cartographers photogrammetrists"
'2022-11-05 23:53:06.043',"bachelors degree","chemical engineers"
'2022-11-05 23:53:06.043',"associates degree","civil engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","civil engineers"
'2022-11-05 23:53:06.043',"bachelors degree","computer hardware engineers"
'2022-11-05 23:53:06.043',"associates degree","drafters"
'2022-11-05 23:53:06.043',"associates degree","electrical and eletronics engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","electrical land electronics engineers"
'2022-11-05 23:53:06.043',"associates degree","electro mechanical technicians"
'2022-11-05 23:53:06.043',"associates degree","environmental engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","environmental engineers"
'2022-11-05 23:53:06.043',"bachelors degree","health and safety engineers"
'2022-11-05 23:53:06.043',"bachelors degree","industrial engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","industrial engineers"
'2022-11-05 23:53:06.043',"bachelors degree","landscape architects"
'2022-11-05 23:53:06.043',"internship","landscape architects"
'2022-11-05 23:53:06.043',"residency","landscape architects"
'2022-11-05 23:53:06.043',"bachelors degree","marine engineers and naval architects"
'2022-11-05 23:53:06.043',"bachelors degree","materials engineers"
'2022-11-05 23:53:06.043',"associates degree","mechanical engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","mechanical engineers"
'2022-11-05 23:53:06.043',"bachelors degree","mining and geological engineers"
'2022-11-05 23:53:06.043',"bachelors degree","nuclear engineers"
'2022-11-05 23:53:06.043',"bachelors degree","petroleum engineers"
'2022-11-05 23:53:06.043',"high school diploma","surveying and mapping technicians"
'2022-11-05 23:53:06.043',"bachelors degree","surveyors"
'2022-11-05 23:53:06.043',"bachelors degree","art directors"
'2022-11-05 23:53:06.043',"5 or more years related occupation","art directors"
'2022-11-05 23:53:06.043',"on the job training","craft and fine artists"
'2022-11-05 23:53:06.043',"bachelors degree","fashion designers"
'2022-11-05 23:53:06.043',"high school diploma","floral designers"
'2022-11-05 23:53:06.043',"bachelors degree","graphic designers"
'2022-11-05 23:53:06.043',"bachelors degree","industrial designers"
'2022-11-05 23:53:06.043',"bachelors degree","interior designers"
'2022-11-05 23:53:06.043',"bachelors degree","multimedia artists and animators"
'2022-11-05 23:53:06.043',"on the job training","janitors and building cleaners"
'2022-11-05 23:53:06.043',"high school diploma","pest control workers"
'2022-11-05 23:53:06.043',"on the job training","pest control workers"
'2022-11-05 23:53:06.043',"bachelors degree","accountants and auditors"
'2022-11-05 23:53:06.043',"bachelors degree","appraisers and assessors of real estate"
'2022-11-05 23:53:06.043',"bachelors degree","budget analysts"
'2022-11-05 23:53:06.043',"bachelors degree","compensation benefits and job analysis specialists"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","compensation benefits and job analysis specialists"
'2022-11-05 23:53:06.043',"bachelors degree","cost estimators"
'2022-11-05 23:53:06.043',"bachelors degree","financial analysts"
'2022-11-05 23:53:06.043',"bachelors degree","financial examiners"
'2022-11-05 23:53:06.043',"on the job training","financial examiners"
'2022-11-05 23:53:06.043',"bachelors degree","fundraisers"
'2022-11-05 23:53:06.043',"bachelors degree","human resources specialists"
'2022-11-05 23:53:06.043',"bachelors degree","insurance underwriters"
'2022-11-05 23:53:06.043',"on the job training","insurance underwriters"
'2022-11-05 23:53:06.043',"bachelors degree","labor relations specialists"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","labor relations specialists"
'2022-11-05 23:53:06.043',"bachelors degree","loan officers"
'2022-11-05 23:53:06.043',"on the job training","loan officers"
'2022-11-05 23:53:06.043',"bachelors degree","logisticians"
'2022-11-05 23:53:06.043',"bachelors degree","management analysts"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","management analysts"
'2022-11-05 23:53:06.043',"bachelors degree","market research analysts"
'2022-11-05 23:53:06.043',"bachelors degree","meeting convention and event planner"
