"created_at","academia_name","path_name"
'2022-11-05 23:53:06.043',"bachelors degree","personal financial advisors"
'2022-11-05 23:53:06.043',"on the job training","personal financial advisors"
'2022-11-05 23:53:06.043',"bachelors degree","purchasing managers buyers and purchasing agents"
'2022-11-05 23:53:06.043',"associates degree","computer support specialists"
'2022-11-05 23:53:06.043',"bachelors degree","computer support specialists"
'2022-11-05 23:53:06.043',"postsecondary classes","computer support specialists"
'2022-11-05 23:53:06.043',"bachelors degree","tax examiners and collectors and revenue agents"
'2022-11-05 23:53:06.043',"on the job training","tax examiners and collectors and revenue agents"
'2022-11-05 23:53:06.043',"bachelors degree","training and development specialists"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","training and development specialists"
'2022-11-05 23:53:06.043',"bachelors degree","health educators and community health workers"
'2022-11-05 23:53:06.043',"credentials","health educators and community health workers"
'2022-11-05 23:53:06.043',"certification","health educators and community health workers"
'2022-11-05 23:53:06.043',"masters degree","marriage and family therapists"
'2022-11-05 23:53:06.043',"internship","marriage and family therapists"
'2022-11-05 23:53:06.043',"residency","marriage and family therapists"
'2022-11-05 23:53:06.043',"bachelors degree","probation officers and correctional treatment specialists"
'2022-11-05 23:53:06.043',"on the job training","probation officers and correctional treatment specialists"
'2022-11-05 23:53:06.043',"masters degree","rehabilitation counselors"
'2022-11-05 23:53:06.043',"masters degree","school and career counselors"
'2022-11-05 23:53:06.043',"associates degree","web developers"
'2022-11-05 23:53:06.043',"high school diploma","social and human service assistants"
'2022-11-05 23:53:06.043',"on the job training","social and human service assistants"
'2022-11-05 23:53:06.043',"bachelors degree","social workers"
'2022-11-05 23:53:06.043',"masters degree","social workers"
'2022-11-05 23:53:06.043',"bachelors degree","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:53:06.043',"masters degree","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:53:06.043',"high school diploma","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:53:06.043',"on the job training","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:53:06.043',"masters degree","computer and information research scientists"
'2022-11-05 23:53:06.043',"bachelors degree","computer network architects"
'2022-11-05 23:53:06.043',"5 or more years related occupation","computer network architects"
'2022-11-05 23:53:06.043',"bachelors degree","computer programmers"
'2022-11-05 23:53:06.043',"high school diploma","glaziers"
'2022-11-05 23:53:06.043',"apprenticeship","glaziers"
'2022-11-05 23:53:06.043',"bachelors degree","computer systems analysts"
'2022-11-05 23:53:06.043',"bachelors degree","database administrators"
'2022-11-05 23:53:06.043',"bachelors degree","information security analysts"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","information security analysts"
'2022-11-05 23:53:06.043',"bachelors degree","network and computer systems administrators"
'2022-11-05 23:53:06.043',"bachelors degree","software developers"
'2022-11-05 23:53:06.043',"high school diploma","boilermakers"
'2022-11-05 23:53:06.043',"apprenticeship","boilermakers"
'2022-11-05 23:53:06.043',"high school diploma","carpenters"
'2022-11-05 23:53:06.043',"apprenticeship","carpenters"
'2022-11-05 23:53:06.043',"high school diploma","construction and building inspectors"
'2022-11-05 23:53:06.043',"5 or more years related occupation","construction and building inspectors"
'2022-11-05 23:53:06.043',"on the job training","construction and building inspectors"
'2022-11-05 23:53:06.043',"high school diploma","construction equipment operators"
'2022-11-05 23:53:06.043',"on the job training","construction equipment operators"
'2022-11-05 23:53:06.043',"on the job training","construction laborers and helpers"
'2022-11-05 23:53:06.043',"on the job training","drywall and ceiling tile installers and tapers"
'2022-11-05 23:53:06.043',"high school diploma","electricians"
'2022-11-05 23:53:06.043',"apprenticeship","electricians"
'2022-11-05 23:53:06.043',"high school diploma","elevator installers and repairers"
'2022-11-05 23:53:06.043',"apprenticeship","elevator installers and repairers"
'2022-11-05 23:53:06.043',"on the job training","flooring installers and tile and marble setters"
'2022-11-05 23:53:06.043',"apprenticeship","flooring installers and tile and marble setters"
'2022-11-05 23:53:06.043',"high school diploma","hazardous materials remove workers"
'2022-11-05 23:53:06.043',"on the job training","hazardous materials remove workers"
'2022-11-05 23:53:06.043',"high school diploma","insulation workers"
'2022-11-05 23:53:06.043',"apprenticeship","insulation workers"
'2022-11-05 23:53:06.043',"high school diploma","ironworkers"
'2022-11-05 23:53:06.043',"apprenticeship","ironworkers"
'2022-11-05 23:53:06.043',"on the job training","ironworkers"
'2022-11-05 23:53:06.043',"high school diploma","masonry workers"
'2022-11-05 23:53:06.043',"on the job training","masonry workers"
'2022-11-05 23:53:06.043',"apprenticeship","masonry workers"
'2022-11-05 23:53:06.043',"on the job training","painters construction and maintenance"
'2022-11-05 23:53:06.043',"high school diploma","plumbers pipefitters steamfitters"
'2022-11-05 23:53:06.043',"apprenticeship","plumbers pipefitters steamfitters"
'2022-11-05 23:53:06.043',"on the job training","roofers"
'2022-11-05 23:53:06.043',"high school diploma","sheet metal workers"
'2022-11-05 23:53:06.043',"apprenticeship","sheet metal workers"
'2022-11-05 23:53:06.043',"high school diploma","solar photovoltaic installers"
'2022-11-05 23:53:06.043',"on the job training","solar photovoltaic installers"
'2022-11-05 23:53:06.043',"bachelors degree","adult literacy and high school equivalency diploma teachers"
'2022-11-05 23:53:06.043',"bachelors degree","career and technical education teachers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","career and technical education teachers"
'2022-11-05 23:53:06.043',"bachelors degree","high school teachers"
'2022-11-05 23:53:06.043',"masters degree","instructional coordinators"
'2022-11-05 23:53:06.043',"5 or more years related occupation","instructional coordinators"
'2022-11-05 23:53:06.043',"bachelors degree","kindergarten and elementary school teachers"
'2022-11-05 23:53:06.043',"masters degree","librarians"
'2022-11-05 23:53:06.043',"postsecondary certificate","library technicians and assistants"
'2022-11-05 23:53:06.043',"bachelors degree","middle school teachers"
'2022-11-05 23:53:06.043',"phd","postsecondary teachers"
'2022-11-05 23:53:06.043',"masters degree","postsecondary teachers"
'2022-11-05 23:53:06.043',"work experience","postsecondary teachers"
'2022-11-05 23:53:06.043',"associates degree","preschool teachers"
'2022-11-05 23:53:06.043',"bachelors degree","special education teachers"
'2022-11-05 23:53:06.043',"some college","teacher assistants"
'2022-11-05 23:53:06.043',"some college","actors"
'2022-11-05 23:53:06.043',"on the job training","actors"
'2022-11-05 23:53:06.043',"on the job training","athletes and sports competitors"
'2022-11-05 23:53:06.043',"high school diploma","automotive body and glass repairers"
'2022-11-05 23:53:06.043',"bachelors degree","coaches and scouts"
'2022-11-05 23:53:06.043',"formal training","dancers and choreographers"
'2022-11-05 23:53:06.043',"masters degree","nurse anesthetists nurse midwives nurse practitioners"
'2022-11-05 23:53:06.043',"bachelors degree","music directors and composers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","music directors and composers"
'2022-11-05 23:53:06.043',"on the job training","musicians and singers"
'2022-11-05 23:53:06.043',"bachelors degree","producers and directors"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","producers and directors"
'2022-11-05 23:53:06.043',"high school diploma","umpires referees and other sports officials"
'2022-11-05 23:53:06.043',"on the job training","umpires referees and other sports officials"
'2022-11-05 23:53:06.043',"on the job training","agricultural workers"
'2022-11-05 23:53:06.043',"on the job training","fishing and hunting workers"
'2022-11-05 23:53:06.043',"high school diploma","forest and conservation workers"
'2022-11-05 23:53:06.043',"on the job training","forest and conservation workers"
'2022-11-05 23:53:06.043',"high school diploma","logging workers"
'2022-11-05 23:53:06.043',"on the job training","logging workers"
'2022-11-05 23:53:06.043',"on the job training","bartenders"
'2022-11-05 23:53:06.043',"masters degree","anthropologists archeologists"
'2022-11-05 23:53:06.043',"high school diploma","chefs and head cooks"
'2022-11-05 23:53:06.043',"5 or more years related occupation","chefs and head cooks"
'2022-11-05 23:53:06.043',"on the job training","cooks"
'2022-11-05 23:53:06.043',"work experience","cooks"
'2022-11-05 23:53:06.043',"on the job training","food and beverage serving and related workers"
'2022-11-05 23:53:06.043',"on the job training","food preparation workers"
'2022-11-05 23:53:06.043',"on the job training","waiters and waitresses"
'2022-11-05 23:53:06.043',"bachelors degree","athletic trainers"
'2022-11-05 23:53:06.043',"doctoral degree","audiologists"
'2022-11-05 23:53:06.043',"professional degree","audiologists"
'2022-11-05 23:53:06.043',"doctoral degree","chiropractors"
'2022-11-05 23:53:06.043',"professional degree","chiropractors"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","dental assistants"
'2022-11-05 23:53:06.043',"associates degree","dental hygienists"
'2022-11-05 23:53:06.043',"doctoral degree","dentists"
'2022-11-05 23:53:06.043',"professional degree","dentists"
'2022-11-05 23:53:06.043',"associates degree","diagnostic medical sonographers and cardiovascular technologists and technicians including vascular technologists"
'2022-11-05 23:53:06.043',"bachelors degree","dietitians and nutritionists"
'2022-11-05 23:53:06.043',"internship","dietitians and nutritionists"
'2022-11-05 23:53:06.043',"residency","dietitians and nutritionists"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","emts and paramedics"
'2022-11-05 23:53:06.043',"bachelors degree","exercise physiologists"
'2022-11-05 23:53:06.043',"masters degree","genetic counselors"
'2022-11-05 23:53:06.043',"high school diploma","home health aides and personal care aides"
'2022-11-05 23:53:06.043',"on the job training","home health aides and personal care aides"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","licensed practical licenses vocational nurses"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","massage therapists"
'2022-11-05 23:53:06.043',"bachelors degree","medical and clinical laboratory technologists and technicians"
'2022-11-05 23:53:06.043',"associates degree","medical and clinical laboratory technologists and technicians"
'2022-11-05 23:53:06.043',"license","medical and clinical laboratory technologists and technicians"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","medical assistants"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","medical records and health information technicians"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","medical transcriptionists"
'2022-11-05 23:53:06.043',"associates degree","nuclear medicine technologists"
'2022-11-05 23:53:06.043',"high school diploma","nursing assistants and orderlies"
'2022-11-05 23:53:06.043',"state approved education program","nursing assistants and orderlies"
'2022-11-05 23:53:06.043',"state competency exam","nursing assistants and orderlies"
'2022-11-05 23:53:06.043',"doctoral degree","physical therapists"
'2022-11-05 23:53:06.043',"professional degree","physical therapists"
'2022-11-05 23:53:06.043',"bachelors degree","occupational health and safety specialists and technicians"
'2022-11-05 23:53:06.043',"on the job training","occupational health and safety specialists and technicians"
'2022-11-05 23:53:06.043',"postsecondary","occupational health and safety specialists and technicians"
'2022-11-05 23:53:06.043',"masters degree","occupational therapists"
'2022-11-05 23:53:06.043',"high school diploma","occupational therapy assistants and aides"
'2022-11-05 23:53:06.043',"on the job training","occupational therapy assistants and aides"
'2022-11-05 23:53:06.043',"associates degree","occupational therapy assistants and aides"
'2022-11-05 23:53:06.043',"high school diploma","opticians"
'2022-11-05 23:53:06.043',"on the job training","opticians"
'2022-11-05 23:53:06.043',"doctoral degree","optometrists"
'2022-11-05 23:53:06.043',"professional degree","optometrists"
'2022-11-05 23:53:06.043',"masters degree","orthotists and prosthetists"
'2022-11-05 23:53:06.043',"internship","orthotists and prosthetists"
'2022-11-05 23:53:06.043',"residency","orthotists and prosthetists"
'2022-11-05 23:53:06.043',"doctoral degree","pharmacists"
'2022-11-05 23:53:06.043',"professional degree","pharmacists"
'2022-11-05 23:53:06.043',"high school diploma","pharmacy technicians"
'2022-11-05 23:53:06.043',"on the job training","pharmacy technicians"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","phlebotomists"
'2022-11-05 23:53:06.043',"associates degree","physical therapist assistants and aides"
'2022-11-05 23:53:06.043',"license","physical therapist assistants and aides"
'2022-11-05 23:53:06.043',"certification","physical therapist assistants and aides"
'2022-11-05 23:53:06.043',"high school diploma","physical therapist assistants and aides"
'2022-11-05 23:53:06.043',"on the job training","physical therapist assistants and aides"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","surgical technologists"
'2022-11-05 23:53:06.043',"masters degree","physician assistants"
'2022-11-05 23:53:06.043',"doctoral degree","physicians and surgeons"
'2022-11-05 23:53:06.043',"professional degree","physicians and surgeons"
'2022-11-05 23:53:06.043',"internship","physicians and surgeons"
'2022-11-05 23:53:06.043',"residency","physicians and surgeons"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","automotive service technicians and mechanics"
'2022-11-05 23:53:06.043',"on the job training","automotive service technicians and mechanics"
'2022-11-05 23:53:06.043',"doctoral degree","podiatrists"
'2022-11-05 23:53:06.043',"professional degree","podiatrists"
'2022-11-05 23:53:06.043',"internship","podiatrists"
'2022-11-05 23:53:06.043',"residency","podiatrists"
'2022-11-05 23:53:06.043',"bachelors degree","compensation managers benefits managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","compensation managers benefits managers"
'2022-11-05 23:53:06.043',"postsecondary certificate","psychiatric technicians and aides"
'2022-11-05 23:53:06.043',"high school diploma","psychiatric technicians and aides"
'2022-11-05 23:53:06.043',"on the job training","psychiatric technicians and aides"
'2022-11-05 23:53:06.043',"associates degree","radiation therapists"
'2022-11-05 23:53:06.043',"associates degree","radiologic and mri technologists"
'2022-11-05 23:53:06.043',"bachelors degree","recreational therapists"
'2022-11-05 23:53:06.043',"bachelors degree","registered nurses"
'2022-11-05 23:53:06.043',"associates degree","respiratory therapists"
'2022-11-05 23:53:06.043',"masters degree","speech language pathologists"
'2022-11-05 23:53:06.043',"doctoral degree","veterinarians"
'2022-11-05 23:53:06.043',"professional degree","veterinarians"
'2022-11-05 23:53:06.043',"high school diploma","veterinary assistants laboratory animal caretakers"
'2022-11-05 23:53:06.043',"on the job training","veterinary assistants laboratory animal caretakers"
'2022-11-05 23:53:06.043',"associates degree","veterinary technologists veterinary technicians"
'2022-11-05 23:53:06.043',"aviation maintenance technician school","aircraft and avionics equipment mechanics and technicians"
'2022-11-05 23:53:06.043',"on the job training","aircraft and avionics equipment mechanics and technicians"
'2022-11-05 23:53:06.043',"certification","aircraft and avionics equipment mechanics and technicians"
'2022-11-05 23:53:06.043',"high school diploma","diesel service technicians and mechanics"
'2022-11-05 23:53:06.043',"on the job training","diesel service technicians and mechanics"
'2022-11-05 23:53:06.043',"high school diploma","electrical and electronics installers and repairers"
'2022-11-05 23:53:06.043',"advanced education","electrical and electronics installers and repairers"
'2022-11-05 23:53:06.043',"work experience","electrical and electronics installers and repairers"
'2022-11-05 23:53:06.043',"high school diploma","general maintenance and repair workers"
'2022-11-05 23:53:06.043',"on the job training","general maintenance and repair workers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","heating air conditioning and refrigeration mechanics and installers"
'2022-11-05 23:53:06.043',"on the job training","heating air conditioning and refrigeration mechanics and installers"
'2022-11-05 23:53:06.043',"high school diploma","heavy vehicle and mobile equipment service technicians"
'2022-11-05 23:53:06.043',"on the job training","heavy vehicle and mobile equipment service technicians"
'2022-11-05 23:53:06.043',"high school diploma","industrial machinery mechanics machinery maintenance workers millwrights"
'2022-11-05 23:53:06.043',"high school diploma","line installers and repairers"
'2022-11-05 23:53:06.043',"on the job training","line installers and repairers"
'2022-11-05 23:53:06.043',"associates degree","medical equipment repairers"
'2022-11-05 23:53:06.043',"on the job training","medical equipment repairers"
'2022-11-05 23:53:06.043',"bachelors degree","training and development managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","training and development managers"
'2022-11-05 23:53:06.043',"on the job training","butchers"
'2022-11-05 23:53:06.043',"high school diploma","small engine mechanics"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","small engine mechanics"
'2022-11-05 23:53:06.043',"on the job training","small engine mechanics"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","telecommunications equipment installers and repairers"
'2022-11-05 23:53:06.043',"on the job training","telecommunications equipment installers and repairers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","wind turbine technicians"
'2022-11-05 23:53:06.043',"on the job training","wind turbine technicians"
'2022-11-05 23:53:06.043',"bachelors degree","chemists materials scientists"
'2022-11-05 23:53:06.043',"bachelors degree","arbitrators mediators conciliators"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","arbitrators mediators conciliators"
'2022-11-05 23:53:06.043',"on the job training","arbitrators mediators conciliators"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","court reporters"
'2022-11-05 23:53:06.043',"doctoral degree","judges and hearing officers"
'2022-11-05 23:53:06.043',"professional degree","judges and hearing officers"
'2022-11-05 23:53:06.043',"doctoral degree","lawyers"
'2022-11-05 23:53:06.043',"professional degree","lawyers"
'2022-11-05 23:53:06.043',"associates degree","paralegals and legal assistants"
'2022-11-05 23:53:06.043',"associates degree","agricultural and food science technicians"
'2022-11-05 23:53:06.043',"on the job training","agricultural and food science technicians"
'2022-11-05 23:53:06.043',"bachelors degree","agricultural and food scientists"
'2022-11-05 23:53:06.043',"bachelors degree","atmospheric scientists meteorologists"
'2022-11-05 23:53:06.043',"doctoral degree","biochemists and biophysicists"
'2022-11-05 23:53:06.043',"professional degree","biochemists and biophysicists"
'2022-11-05 23:53:06.043',"bachelors degree","biological technicians"
'2022-11-05 23:53:06.043',"associates degree","chemical technicians"
'2022-11-05 23:53:06.043',"bachelors degree","conservation scientists foresters"
'2022-11-05 23:53:06.043',"masters degree","economists"
'2022-11-05 23:53:06.043',"associates degree","environmental science and protection technicians"
'2022-11-05 23:53:06.043',"bachelors degree","environmental scientists and specialists"
'2022-11-05 23:53:06.043',"masters degree","epidemiologists"
'2022-11-05 23:53:06.043',"bachelors degree","forensic science technicians"
'2022-11-05 23:53:06.043',"bachelors degree","geographers"
'2022-11-05 23:53:06.043',"associates degree","geological technicians petroleum technicians"
'2022-11-05 23:53:06.043',"on the job training","geological technicians petroleum technicians"
'2022-11-05 23:53:06.043',"bachelors degree","geoscientists"
'2022-11-05 23:53:06.043',"masters degree","historians"
'2022-11-05 23:53:06.043',"masters degree","urban and regional planners"
'2022-11-05 23:53:06.043',"bachelors degree","hydrologists"
'2022-11-05 23:53:06.043',"doctoral degree","medical scientists"
'2022-11-05 23:53:06.043',"professional degree","medical scientists"
'2022-11-05 23:53:06.043',"bachelors degree","microbiologists"
'2022-11-05 23:53:06.043',"associates degree","nuclear technicians"
'2022-11-05 23:53:06.043',"on the job training","nuclear technicians"
'2022-11-05 23:53:06.043',"doctoral degree","physicists astronomers"
'2022-11-05 23:53:06.043',"professional degree","physicists astronomers"
'2022-11-05 23:53:06.043',"masters degree","political scientists"
'2022-11-05 23:53:06.043',"masters degree","psychologists"
'2022-11-05 23:53:06.043',"doctoral degree","psychologists"
'2022-11-05 23:53:06.043',"license","psychologists"
'2022-11-05 23:53:06.043',"masters degree","sociologists"
'2022-11-05 23:53:06.043',"masters degree","survey researchers"
'2022-11-05 23:53:06.043',"bachelors degree","zoologists wildlife biologists"
'2022-11-05 23:53:06.043',"bachelors degree","administrative services managers"
'2022-11-05 23:53:06.043',"bachelors degree","advertising managers promotions managers marketing managers"
'2022-11-05 23:53:06.043',"bachelors degree","architectural managers engineering managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","architectural managers engineering managers"
'2022-11-05 23:53:06.043',"bachelors degree","computer and information systems managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","computer and information systems managers"
'2022-11-05 23:53:06.043',"bachelors degree","construction managers"
'2022-11-05 23:53:06.043',"on the job training","construction managers"
'2022-11-05 23:53:06.043',"masters degree","elementary middle and high school principals"
'2022-11-05 23:53:06.043',"5 or more years related occupation","elementary middle and high school principals"
'2022-11-05 23:53:06.043',"bachelors degree","emergency management directors"
'2022-11-05 23:53:06.043',"5 or more years related occupation","emergency management directors"
'2022-11-05 23:53:06.043',"high school diploma","farmers ranchers and other agricultural managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","farmers ranchers and other agricultural managers"
'2022-11-05 23:53:06.043',"high school diploma","customer service representatives"
'2022-11-05 23:53:06.043',"on the job training","customer service representatives"
'2022-11-05 23:53:06.043',"bachelors degree","financial managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","financial managers"
'2022-11-05 23:53:06.043',"high school diploma","food service managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","food service managers"
'2022-11-05 23:53:06.043',"bachelors degree","social and community service managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","social and community service managers"
'2022-11-05 23:53:06.043',"bachelors degree","human resources managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","human resources managers"
'2022-11-05 23:53:06.043',"bachelors degree","industrial production managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","industrial production managers"
'2022-11-05 23:53:06.043',"high school diploma","lodging managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","lodging managers"
'2022-11-05 23:53:06.043',"bachelors degree","medical and health services managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","medical and health services managers"
'2022-11-05 23:53:06.043',"bachelors degree","natural sciences managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","natural sciences managers"
'2022-11-05 23:53:06.043',"masters degree","postsecondary education administrators"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","postsecondary education administrators"
'2022-11-05 23:53:06.043',"bachelors degree","preschool and childcare center directors"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","preschool and childcare center directors"
'2022-11-05 23:53:06.043',"high school diploma","property managers real estate managers community association managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","property managers real estate managers community association managers"
'2022-11-05 23:53:06.043',"on the job training","bakers"
'2022-11-05 23:53:06.043',"bachelors degree","public relations managers fundraising managers"
'2022-11-05 23:53:06.043',"5 or more years related occupation","public relations managers fundraising managers"
'2022-11-05 23:53:06.043',"bachelors degree","sales managers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","sales managers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","skincare specialists"
'2022-11-05 23:53:06.043',"bachelors degree","top executives"
'2022-11-05 23:53:06.043',"5 or more years related occupation","top executives"
'2022-11-05 23:53:06.043',"bachelors degree","actuaries"
'2022-11-05 23:53:06.043',"on the job training","actuaries"
'2022-11-05 23:53:06.043',"masters degree","mathematicians statisticians"
'2022-11-05 23:53:06.043',"bachelors degree","operations research analysts"
'2022-11-05 23:53:06.043',"bachelors degree","announcers"
'2022-11-05 23:53:06.043',"internship","announcers"
'2022-11-05 23:53:06.043',"high school diploma","announcers"
'2022-11-05 23:53:06.043',"on the job training","announcers"
'2022-11-05 23:53:06.043',"postsecondary education nondegree award","broadcast and sound engineering technicians"
'2022-11-05 23:53:06.043',"associates degree","broadcast and sound engineering technicians"
'2022-11-05 23:53:06.043',"bachelors degree","editors"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","editors"
'2022-11-05 23:53:06.043',"bachelors degree","film and video editors camera operators"
'2022-11-05 23:53:06.043',"bachelors degree","interpreters translators"
'2022-11-05 23:53:06.043',"high school diploma","photographers"
'2022-11-05 23:53:06.043',"on the job training","photographers"
'2022-11-05 23:53:06.043',"bachelors degree","public relations specialists"
'2022-11-05 23:53:06.043',"bachelors degree","reporters correspondents and broadcast news analysts"
'2022-11-05 23:53:06.043',"bachelors degree","technical writers"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","technical writers"
'2022-11-05 23:53:06.043',"bachelors degree","writers authors"
'2022-11-05 23:53:06.043',"on the job training","writers authors"
'2022-11-05 23:53:06.043',"high school diploma","bill collectors account collectors"
'2022-11-05 23:53:06.043',"on the job training","bill collectors account collectors"
'2022-11-05 23:53:06.043',"some college","bookkeeping accounting and auditing clerks"
'2022-11-05 23:53:06.043',"on the job training","bookkeeping accounting and auditing clerks"
'2022-11-05 23:53:06.043',"associates degree","desktop publishers"
