created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"sheet metal workers","testing and balacing sheet metal specialists"
'2022-11-05 21:28:04.421',"adult literacy and high school equivalency diploma teachers","adult basic education"
'2022-11-05 21:28:04.421',"adult literacy and high school equivalency diploma teachers","high school equivalency and adult secondary education"
'2022-11-05 21:28:04.421',"adult literacy and high school equivalency diploma teachers","english as a second language"
'2022-11-05 21:28:04.421',"archivists, curators and museum workers","archivists"
'2022-11-05 21:28:04.421',"archivists, curators and museum workers","curators"
'2022-11-05 21:28:04.421',"archivists, curators and museum workers","museum technicians"
'2022-11-05 21:28:04.421',"archivists, curators and museum workers","conservators"
'2022-11-05 21:28:04.421',"librarians","user services librarians"
'2022-11-05 21:28:04.421',"librarians","technical services librarians"
'2022-11-05 21:28:04.421',"librarians","administrative services librarians"
'2022-11-05 21:28:04.421',"librarians","academic librarians"
'2022-11-05 21:28:04.421',"librarians","public librarians"
'2022-11-05 21:28:04.421',"librarians","school librarians"
'2022-11-05 21:28:04.421',"librarians","special librarians"
'2022-11-05 21:28:04.421',"librarians","corporate librarians"
'2022-11-05 21:28:04.421',"librarians","government librarians"
'2022-11-05 21:28:04.421',"librarians","law librarians"
'2022-11-05 21:28:04.421',"librarians","medical librarians"
'2022-11-05 21:28:04.421',"library technicians and assistants","academic library technicians and assistants"
'2022-11-05 21:28:04.421',"library technicians and assistants","school library technicians and assistants"
'2022-11-05 21:28:04.421',"library technicians and assistants","public library technicians and assistants"
'2022-11-05 21:28:04.421',"library technicians and assistants","special library technicians and assistants"
'2022-11-05 21:28:04.421',"producers and directors","producers"
'2022-11-05 21:28:04.421',"producers and directors","directors"
'2022-11-05 21:28:04.421',"agricultural workers","agricultural equipment operators"
'2022-11-05 21:28:04.421',"agricultural workers","animal breeders"
'2022-11-05 21:28:04.421',"agricultural workers","crop laborers"
'2022-11-05 21:28:04.421',"agricultural workers","nursery laborers"
'2022-11-05 21:28:04.421',"agricultural workers","greenhouse farmworkers"
'2022-11-05 21:28:04.421',"agricultural workers","migrant farmworkers"
'2022-11-05 21:28:04.421',"fishing and hunting workers","fishing boat captains"
'2022-11-05 21:28:04.421',"fishing and hunting workers","fishing deckhands"
'2022-11-05 21:28:04.421',"fishing and hunting workers","hunters and trappers"
'2022-11-05 21:28:04.421',"logging workers","fallers"
'2022-11-05 21:28:04.421',"logging workers","buckers"
'2022-11-05 21:28:04.421',"logging workers","tree climbers"
'2022-11-05 21:28:04.421',"logging workers","choke setters"
'2022-11-05 21:28:04.421',"logging workers","rigging slingers and chasers"
'2022-11-05 21:28:04.421',"logging workers","log sorts"
'2022-11-05 21:28:04.421',"logging workers","log makers"
'2022-11-05 21:28:04.421',"logging workers","log movers"
'2022-11-05 21:28:04.421',"logging workers","log chippers"
'2022-11-05 21:28:04.421',"logging workers","logging equipment operators"
'2022-11-05 21:28:04.421',"logging workers","log graders and scalers"
'2022-11-05 21:28:04.421',"chefs and head cooks","executive chefs"
'2022-11-05 21:28:04.421',"chefs and head cooks","head cooks"
'2022-11-05 21:28:04.421',"chefs and head cooks","chefs de cuisine"
'2022-11-05 21:28:04.421',"chefs and head cooks","sous chefs"
'2022-11-05 21:28:04.421',"chefs and head cooks","private household chefs"
'2022-11-05 21:28:04.421',"cooks","restaurant cooks"
'2022-11-05 21:28:04.421',"cooks","fast food cooks"
'2022-11-05 21:28:04.421',"cooks","institution and cafeteria cooks"
'2022-11-05 21:28:04.421',"cooks","short order cooks"
'2022-11-05 21:28:04.421',"cooks","private household cooks"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","combined food preparation workers"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","serving workers"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","counter attendants"
