"created_at","skill_name","path_name"
'2022-11-05 23:00:35.508',"communication","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"critical thinking","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"detail oriented","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"interpersonal","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"math","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"mechanical","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"certifications","aerospace engineering and operations technicians"
'2022-11-05 23:00:35.508',"analytical","aerospace engineers"
'2022-11-05 23:00:35.508',"business","aerospace engineers"
'2022-11-05 23:00:35.508',"critical thinking","aerospace engineers"
'2022-11-05 23:00:35.508',"math","aerospace engineers"
'2022-11-05 23:00:35.508',"problem solving","aerospace engineers"
'2022-11-05 23:00:35.508',"writing","aerospace engineers"
'2022-11-05 23:00:35.508',"analytical","agricultural engineers"
'2022-11-05 23:00:35.508',"communication","agricultural engineers"
'2022-11-05 23:00:35.508',"math","agricultural engineers"
'2022-11-05 23:00:35.508',"problem solving","agricultural engineers"
'2022-11-05 23:00:35.508',"analytical","architects"
'2022-11-05 23:00:35.508',"communication","architects"
'2022-11-05 23:00:35.508',"creativity","architects"
'2022-11-05 23:00:35.508',"organizational","architects"
'2022-11-05 23:00:35.508',"technical","architects"
'2022-11-05 23:00:35.508',"visualization","architects"
'2022-11-05 23:00:35.508',"analytical","biomedical engineers"
'2022-11-05 23:00:35.508',"communication","biomedical engineers"
'2022-11-05 23:00:35.508',"creativity","biomedical engineers"
'2022-11-05 23:00:35.508',"math","biomedical engineers"
'2022-11-05 23:00:35.508',"problem solving","biomedical engineers"
'2022-11-05 23:00:35.508',"computer","cartographers photogrammetrists"
'2022-11-05 23:00:35.508',"critical thinking","cartographers photogrammetrists"
'2022-11-05 23:00:35.508',"decision making","cartographers photogrammetrists"
'2022-11-05 23:00:35.508',"detail oriented","cartographers photogrammetrists"
'2022-11-05 23:00:35.508',"problem solving","cartographers photogrammetrists"
'2022-11-05 23:00:35.508',"analytical","chemical engineers"
'2022-11-05 23:00:35.508',"creativity","chemical engineers"
'2022-11-05 23:00:35.508',"ingenuity","chemical engineers"
'2022-11-05 23:00:35.508',"interpersonal","chemical engineers"
'2022-11-05 23:00:35.508',"math","chemical engineers"
'2022-11-05 23:00:35.508',"problem solving","chemical engineers"
'2022-11-05 23:00:35.508',"critical thinking","civil engineering technicians"
'2022-11-05 23:00:35.508',"decision making","civil engineering technicians"
'2022-11-05 23:00:35.508',"math","civil engineering technicians"
'2022-11-05 23:00:35.508',"observational","civil engineering technicians"
