"created_at","skill_name","path_name"
'2022-11-05 23:00:35.508',"problem solving","civil engineering technicians"
'2022-11-05 23:00:35.508',"reading","civil engineering technicians"
'2022-11-05 23:00:35.508',"writing","civil engineering technicians"
'2022-11-05 23:00:35.508',"decision making","civil engineers"
'2022-11-05 23:00:35.508',"leadership","civil engineers"
'2022-11-05 23:00:35.508',"math","civil engineers"
'2022-11-05 23:00:35.508',"organizational","civil engineers"
'2022-11-05 23:00:35.508',"problem solving","civil engineers"
'2022-11-05 23:00:35.508',"speaking","civil engineers"
'2022-11-05 23:00:35.508',"writing","civil engineers"
'2022-11-05 23:00:35.508',"analytical","computer hardware engineers"
'2022-11-05 23:00:35.508',"critical thinking","computer hardware engineers"
'2022-11-05 23:00:35.508',"problem solving","computer hardware engineers"
'2022-11-05 23:00:35.508',"communication","computer hardware engineers"
'2022-11-05 23:00:35.508',"creativity","drafters"
'2022-11-05 23:00:35.508',"detail oriented","drafters"
'2022-11-05 23:00:35.508',"interpersonal","drafters"
'2022-11-05 23:00:35.508',"math","drafters"
'2022-11-05 23:00:35.508',"technical","drafters"
'2022-11-05 23:00:35.508',"logical thinking","electrical and eletronics engineering technicians"
'2022-11-05 23:00:35.508',"math","electrical and eletronics engineering technicians"
'2022-11-05 23:00:35.508',"mechanical","electrical and eletronics engineering technicians"
'2022-11-05 23:00:35.508',"observational","electrical and eletronics engineering technicians"
'2022-11-05 23:00:35.508',"writing","electrical and eletronics engineering technicians"
'2022-11-05 23:00:35.508',"concentration","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"initiative","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"interpersonal","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"math","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"speaking","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"writing","electrical land electronics engineers"
'2022-11-05 23:00:35.508',"detail oriented","electro mechanical technicians"
'2022-11-05 23:00:35.508',"dexterity","electro mechanical technicians"
'2022-11-05 23:00:35.508',"interpersonal","electro mechanical technicians"
'2022-11-05 23:00:35.508',"logical thinking","electro mechanical technicians"
'2022-11-05 23:00:35.508',"math","electro mechanical technicians"
'2022-11-05 23:00:35.508',"mechanical","electro mechanical technicians"
'2022-11-05 23:00:35.508',"writing","electro mechanical technicians"
'2022-11-05 23:00:35.508',"communication","environmental engineering technicians"
'2022-11-05 23:00:35.508',"critical thinking","environmental engineering technicians"
'2022-11-05 23:00:35.508',"observational","environmental engineering technicians"
'2022-11-05 23:00:35.508',"problem solving","environmental engineering technicians"
'2022-11-05 23:00:35.508',"reading","environmental engineering technicians"
'2022-11-05 23:00:35.508',"imagination","environmental engineers"
'2022-11-05 23:00:35.508',"interpersonal","environmental engineers"
'2022-11-05 23:00:35.508',"problem solving","environmental engineers"
'2022-11-05 23:00:35.508',"reading","environmental engineers"
'2022-11-05 23:00:35.508',"writing","environmental engineers"
'2022-11-05 23:00:35.508',"communication","health and safety engineers"
'2022-11-05 23:00:35.508',"creativity","health and safety engineers"
'2022-11-05 23:00:35.508',"critical thinking","health and safety engineers"
'2022-11-05 23:00:35.508',"observational","health and safety engineers"
'2022-11-05 23:00:35.508',"problem solving","health and safety engineers"
'2022-11-05 23:00:35.508',"analytical","industrial engineering technicians"
'2022-11-05 23:00:35.508',"communication","industrial engineering technicians"
'2022-11-05 23:00:35.508',"critical thinking","industrial engineering technicians"
'2022-11-05 23:00:35.508',"detail oriented","industrial engineering technicians"
'2022-11-05 23:00:35.508',"math","industrial engineering technicians"
'2022-11-05 23:00:35.508',"observational","industrial engineering technicians"
'2022-11-05 23:00:35.508',"creativity","industrial engineers"
'2022-11-05 23:00:35.508',"critical thinking","industrial engineers"
'2022-11-05 23:00:35.508',"listening","industrial engineers"
'2022-11-05 23:00:35.508',"math","industrial engineers"
'2022-11-05 23:00:35.508',"problem solving","industrial engineers"
'2022-11-05 23:00:35.508',"speaking","industrial engineers"
'2022-11-05 23:00:35.508',"writing","industrial engineers"
'2022-11-05 23:00:35.508',"analytical","landscape architects"
'2022-11-05 23:00:35.508',"communication","landscape architects"
'2022-11-05 23:00:35.508',"creativity","landscape architects"
'2022-11-05 23:00:35.508',"problem solving","landscape architects"
'2022-11-05 23:00:35.508',"technical","landscape architects"
'2022-11-05 23:00:35.508',"visualization","landscape architects"
'2022-11-05 23:00:35.508',"communication","marine engineers and naval architects"
'2022-11-05 23:00:35.508',"ingenuity","marine engineers and naval architects"
'2022-11-05 23:00:35.508',"interpersonal","marine engineers and naval architects"
'2022-11-05 23:00:35.508',"analytical","materials engineers"
'2022-11-05 23:00:35.508',"math","materials engineers"
'2022-11-05 23:00:35.508',"problem solving","materials engineers"
'2022-11-05 23:00:35.508',"speaking","materials engineers"
'2022-11-05 23:00:35.508',"writing","materials engineers"
'2022-11-05 23:00:35.508',"communication","mechanical engineering technicians"
'2022-11-05 23:00:35.508',"creativity","mechanical engineering technicians"
'2022-11-05 23:00:35.508',"detail oriented","mechanical engineering technicians"
'2022-11-05 23:00:35.508',"math","mechanical engineering technicians"
'2022-11-05 23:00:35.508',"mechanical","mechanical engineering technicians"
'2022-11-05 23:00:35.508',"creativity","mechanical engineers"
'2022-11-05 23:00:35.508',"listening","mechanical engineers"
'2022-11-05 23:00:35.508',"math","mechanical engineers"
'2022-11-05 23:00:35.508',"mechanical","mechanical engineers"
'2022-11-05 23:00:35.508',"problem solving","mechanical engineers"
'2022-11-05 23:00:35.508',"analytical","mining and geological engineers"
'2022-11-05 23:00:35.508',"decision making","mining and geological engineers"
'2022-11-05 23:00:35.508',"logical thinking","mining and geological engineers"
'2022-11-05 23:00:35.508',"math","mining and geological engineers"
'2022-11-05 23:00:35.508',"problem solving","mining and geological engineers"
'2022-11-05 23:00:35.508',"writing","mining and geological engineers"
'2022-11-05 23:00:35.508',"analytical","nuclear engineers"
'2022-11-05 23:00:35.508',"communication","nuclear engineers"
'2022-11-05 23:00:35.508',"detail oriented","nuclear engineers"
'2022-11-05 23:00:35.508',"logical thinking","nuclear engineers"
'2022-11-05 23:00:35.508',"math","nuclear engineers"
'2022-11-05 23:00:35.508',"problem solving","nuclear engineers"
'2022-11-05 23:00:35.508',"analytical","petroleum engineers"
'2022-11-05 23:00:35.508',"creativity","petroleum engineers"
'2022-11-05 23:00:35.508',"interpersonal","petroleum engineers"
'2022-11-05 23:00:35.508',"math","petroleum engineers"
'2022-11-05 23:00:35.508',"problem solving","petroleum engineers"
'2022-11-05 23:00:35.508',"decision making","surveying and mapping technicians"
'2022-11-05 23:00:35.508',"detail oriented","surveying and mapping technicians"
'2022-11-05 23:00:35.508',"listening","surveying and mapping technicians"
'2022-11-05 23:00:35.508',"physical stamina","surveying and mapping technicians"
'2022-11-05 23:00:35.508',"problem solving","surveying and mapping technicians"
'2022-11-05 23:00:35.508',"communication","surveyors"
'2022-11-05 23:00:35.508',"detail oriented","surveyors"
'2022-11-05 23:00:35.508',"physical stamina","surveyors"
'2022-11-05 23:00:35.508',"problem solving","surveyors"
'2022-11-05 23:00:35.508',"time management","surveyors"
'2022-11-05 23:00:35.508',"visualization","surveyors"
'2022-11-05 23:00:35.508',"communication","art directors"
'2022-11-05 23:00:35.508',"creativity","art directors"
'2022-11-05 23:00:35.508',"leadership","art directors"
'2022-11-05 23:00:35.508',"resourcefulness","art directors"
'2022-11-05 23:00:35.508',"time management","art directors"
'2022-11-05 23:00:35.508',"artistic ability","craft and fine artists"
'2022-11-05 23:00:35.508',"business","craft and fine artists"
'2022-11-05 23:00:35.508',"creativity","craft and fine artists"
'2022-11-05 23:00:35.508',"customer service","craft and fine artists"
'2022-11-05 23:00:35.508',"dexterity","craft and fine artists"
'2022-11-05 23:00:35.508',"interpersonal","craft and fine artists"
'2022-11-05 23:00:35.508',"artistic ability","fashion designers"
'2022-11-05 23:00:35.508',"communication","fashion designers"
'2022-11-05 23:00:35.508',"computer","fashion designers"
'2022-11-05 23:00:35.508',"creativity","fashion designers"
'2022-11-05 23:00:35.508',"decision making","fashion designers"
'2022-11-05 23:00:35.508',"detail oriented","fashion designers"
'2022-11-05 23:00:35.508',"artistic ability","floral designers"
'2022-11-05 23:00:35.508',"creativity","floral designers"
'2022-11-05 23:00:35.508',"customer service","floral designers"
'2022-11-05 23:00:35.508',"organizational","floral designers"
'2022-11-05 23:00:35.508',"analytical","graphic designers"
'2022-11-05 23:00:35.508',"artistic","graphic designers"
'2022-11-05 23:00:35.508',"communication","graphic designers"
'2022-11-05 23:00:35.508',"computer","graphic designers"
'2022-11-05 23:00:35.508',"creativity","graphic designers"
'2022-11-05 23:00:35.508',"time management","graphic designers"
'2022-11-05 23:00:35.508',"analytical","industrial designers"
'2022-11-05 23:00:35.508',"artistic","industrial designers"
'2022-11-05 23:00:35.508',"computer","industrial designers"
'2022-11-05 23:00:35.508',"creativity","industrial designers"
'2022-11-05 23:00:35.508',"interpersonal","industrial designers"
'2022-11-05 23:00:35.508',"mechanical","industrial designers"
'2022-11-05 23:00:35.508',"problem solving","industrial designers"
'2022-11-05 23:00:35.508',"artistic ability","interior designers"
'2022-11-05 23:00:35.508',"creativity","interior designers"
'2022-11-05 23:00:35.508',"detail oriented","interior designers"
'2022-11-05 23:00:35.508',"interpersonal","interior designers"
'2022-11-05 23:00:35.508',"problem solving","interior designers"
'2022-11-05 23:00:35.508',"visualization","interior designers"
'2022-11-05 23:00:35.508',"communication","multimedia artists and animators"
'2022-11-05 23:00:35.508',"computer","multimedia artists and animators"
'2022-11-05 23:00:35.508',"creativity","multimedia artists and animators"
'2022-11-05 23:00:35.508',"time management","multimedia artists and animators"
'2022-11-05 23:00:35.508',"physical stamina","grounds maintenance workers"
'2022-11-05 23:00:35.508',"self motivated","grounds maintenance workers"
'2022-11-05 23:00:35.508',"visualization","grounds maintenance workers"
'2022-11-05 23:00:35.508',"interpersonal","janitors and building cleaners"
'2022-11-05 23:00:35.508',"mechanical","janitors and building cleaners"
'2022-11-05 23:00:35.508',"physical stamina","janitors and building cleaners"
'2022-11-05 23:00:35.508',"detail oriented","carpenters"
'2022-11-05 23:00:35.508',"physical strength","janitors and building cleaners"
'2022-11-05 23:00:35.508',"time management","janitors and building cleaners"
'2022-11-05 23:00:35.508',"bookkeeping","pest control workers"
'2022-11-05 23:00:35.508',"customer service","pest control workers"
'2022-11-05 23:00:35.508',"detail oriented","pest control workers"
'2022-11-05 23:00:35.508',"physical stamina","pest control workers"
'2022-11-05 23:00:35.508',"analytical","accountants and auditors"
'2022-11-05 23:00:35.508',"communication","accountants and auditors"
'2022-11-05 23:00:35.508',"detail oriented","accountants and auditors"
'2022-11-05 23:00:35.508',"math","accountants and auditors"
'2022-11-05 23:00:35.508',"organizational","accountants and auditors"
'2022-11-05 23:00:35.508',"analytical","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"customer service","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"math","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"organizational","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"problem solving","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"time management","appraisers and assessors of real estate"
'2022-11-05 23:00:35.508',"analytical","budget analysts"
'2022-11-05 23:00:35.508',"communication","budget analysts"
'2022-11-05 23:00:35.508',"detail oriented","budget analysts"
'2022-11-05 23:00:35.508',"math","budget analysts"
'2022-11-05 23:00:35.508',"writing","budget analysts"
'2022-11-05 23:00:35.508',"analytical","claims adjusters appraisers examiners and investigators"
'2022-11-05 23:00:35.508',"communication","claims adjusters appraisers examiners and investigators"
'2022-11-05 23:00:35.508',"detail oriented","claims adjusters appraisers examiners and investigators"
'2022-11-05 23:00:35.508',"interpersonal","claims adjusters appraisers examiners and investigators"
'2022-11-05 23:00:35.508',"math","claims adjusters appraisers examiners and investigators"
'2022-11-05 23:00:35.508',"analytical","compensation benefits and job analysis specialists"
'2022-11-05 23:00:35.508',"business","compensation benefits and job analysis specialists"
'2022-11-05 23:00:35.508',"communication","compensation benefits and job analysis specialists"
'2022-11-05 23:00:35.508',"critical thinking","compensation benefits and job analysis specialists"
'2022-11-05 23:00:35.508',"analytical","cost estimators"
'2022-11-05 23:00:35.508',"communication","cost estimators"
'2022-11-05 23:00:35.508',"detail oriented","cost estimators"
'2022-11-05 23:00:35.508',"math","cost estimators"
'2022-11-05 23:00:35.508',"time management","cost estimators"
'2022-11-05 23:00:35.508',"analytical","financial analysts"
'2022-11-05 23:00:35.508',"communication","financial analysts"
'2022-11-05 23:00:35.508',"computer","financial analysts"
'2022-11-05 23:00:35.508',"decisionmaking","financial analysts"
'2022-11-05 23:00:35.508',"detail oriented","financial analysts"
'2022-11-05 23:00:35.508',"math","financial analysts"
'2022-11-05 23:00:35.508',"analytical","financial examiners"
'2022-11-05 23:00:35.508',"detail oriented","financial examiners"
'2022-11-05 23:00:35.508',"math","financial examiners"
'2022-11-05 23:00:35.508',"writing","financial examiners"
'2022-11-05 23:00:35.508',"communication","fundraisers"
'2022-11-05 23:00:35.508',"detail oriented","fundraisers"
'2022-11-05 23:00:35.508',"interpersonal","fundraisers"
'2022-11-05 23:00:35.508',"organizational","fundraisers"
'2022-11-05 23:00:35.508',"communication","human resources specialists"
'2022-11-05 23:00:35.508',"decisionmaking","human resources specialists"
'2022-11-05 23:00:35.508',"detail oriented","human resources specialists"
'2022-11-05 23:00:35.508',"interpersonal","human resources specialists"
'2022-11-05 23:00:35.508',"analytical","insurance underwriters"
'2022-11-05 23:00:35.508',"decisionmaking","insurance underwriters"
'2022-11-05 23:00:35.508',"detail oriented","insurance underwriters"
'2022-11-05 23:00:35.508',"interpersonal","insurance underwriters"
'2022-11-05 23:00:35.508',"math","insurance underwriters"
'2022-11-05 23:00:35.508',"decisionmaking","labor relations specialists"
'2022-11-05 23:00:35.508',"detail oriented","labor relations specialists"
'2022-11-05 23:00:35.508',"interpersonal","labor relations specialists"
'2022-11-05 23:00:35.508',"listening","labor relations specialists"
'2022-11-05 23:00:35.508',"writing","labor relations specialists"
'2022-11-05 23:00:35.508',"decisionmaking","loan officers"
'2022-11-05 23:00:35.508',"detail oriented","loan officers"
'2022-11-05 23:00:35.508',"initiative","loan officers"
'2022-11-05 23:00:35.508',"interpersonal","loan officers"
'2022-11-05 23:00:35.508',"communication","logisticians"
'2022-11-05 23:00:35.508',"critical thinking","logisticians"
'2022-11-05 23:00:35.508',"customer service","logisticians"
'2022-11-05 23:00:35.508',"organizational","logisticians"
'2022-11-05 23:00:35.508',"problem solving","logisticians"
'2022-11-05 23:00:35.508',"communication","management analysts"
'2022-11-05 23:00:35.508',"interpersonal","management analysts"
'2022-11-05 23:00:35.508',"problem solving","management analysts"
'2022-11-05 23:00:35.508',"time management","management analysts"
'2022-11-05 23:00:35.508',"analytical","market research analysts"
'2022-11-05 23:00:35.508',"communication","market research analysts"
'2022-11-05 23:00:35.508',"critical thinking","market research analysts"
'2022-11-05 23:00:35.508',"detail oriented","market research analysts"
'2022-11-05 23:00:35.508',"communication","meeting convention and event planner"
'2022-11-05 23:00:35.508',"interpersonal","meeting convention and event planner"
'2022-11-05 23:00:35.508',"negotiation","meeting convention and event planner"
'2022-11-05 23:00:35.508',"organizational","meeting convention and event planner"
'2022-11-05 23:00:35.508',"problem solving","meeting convention and event planner"
'2022-11-05 23:00:35.508',"analytical","personal financial advisors"
'2022-11-05 23:00:35.508',"interpersonal","personal financial advisors"
'2022-11-05 23:00:35.508',"math","personal financial advisors"
'2022-11-05 23:00:35.508',"sales","personal financial advisors"
'2022-11-05 23:00:35.508',"speaking","personal financial advisors"
'2022-11-05 23:00:35.508',"analytical","purchasing managers buyers and purchasing agents"
'2022-11-05 23:00:35.508',"decisionmaking","purchasing managers buyers and purchasing agents"
'2022-11-05 23:00:35.508',"math","purchasing managers buyers and purchasing agents"
'2022-11-05 23:00:35.508',"negotiating","purchasing managers buyers and purchasing agents"
'2022-11-05 23:00:35.508',"analytical","tax examiners and collectors and revenue agents"
'2022-11-05 23:00:35.508',"computer","tax examiners and collectors and revenue agents"
'2022-11-05 23:00:35.508',"detail oriented","tax examiners and collectors and revenue agents"
'2022-11-05 23:00:35.508',"interpersonal","tax examiners and collectors and revenue agents"
'2022-11-05 23:00:35.508',"organizational","tax examiners and collectors and revenue agents"
'2022-11-05 23:00:35.508',"dexterity","carpenters"
'2022-11-05 23:00:35.508',"analytical","training and development specialists"
'2022-11-05 23:00:35.508',"communication","training and development specialists"
'2022-11-05 23:00:35.508',"creativity","training and development specialists"
'2022-11-05 23:00:35.508',"instructional","training and development specialists"
'2022-11-05 23:00:35.508',"analytical","health educators and community health workers"
'2022-11-05 23:00:35.508',"instructional","health educators and community health workers"
'2022-11-05 23:00:35.508',"interpersonal","health educators and community health workers"
'2022-11-05 23:00:35.508',"problem solving","health educators and community health workers"
'2022-11-05 23:00:35.508',"writing","health educators and community health workers"
'2022-11-05 23:00:35.508',"compassion","marriage and family therapists"
'2022-11-05 23:00:35.508',"interpersonal","marriage and family therapists"
'2022-11-05 23:00:35.508',"listening","marriage and family therapists"
'2022-11-05 23:00:35.508',"organizational","marriage and family therapists"
'2022-11-05 23:00:35.508',"speaking","marriage and family therapists"
'2022-11-05 23:00:35.508',"communication","probation officers and correctional treatment specialists"
'2022-11-05 23:00:35.508',"critical thinking","probation officers and correctional treatment specialists"
'2022-11-05 23:00:35.508',"decisionmaking","probation officers and correctional treatment specialists"
'2022-11-05 23:00:35.508',"emotional stability","probation officers and correctional treatment specialists"
'2022-11-05 23:00:35.508',"organizational","probation officers and correctional treatment specialists"
'2022-11-05 23:00:35.508',"communication","rehabilitation counselors"
'2022-11-05 23:00:35.508',"compassion","rehabilitation counselors"
'2022-11-05 23:00:35.508',"critical thinking","rehabilitation counselors"
'2022-11-05 23:00:35.508',"interpersonal","rehabilitation counselors"
'2022-11-05 23:00:35.508',"listening","rehabilitation counselors"
'2022-11-05 23:00:35.508',"patience","rehabilitation counselors"
'2022-11-05 23:00:35.508',"analytical","school and career counselors"
'2022-11-05 23:00:35.508',"compassion","school and career counselors"
'2022-11-05 23:00:35.508',"interpersonal","school and career counselors"
'2022-11-05 23:00:35.508',"listening","school and career counselors"
'2022-11-05 23:00:35.508',"speaking","school and career counselors"
'2022-11-05 23:00:35.508',"concentration","web developers"
'2022-11-05 23:00:35.508',"creativity","web developers"
'2022-11-05 23:00:35.508',"customer service","web developers"
'2022-11-05 23:00:35.508',"detail oriented","web developers"
'2022-11-05 23:00:35.508',"communication","social and human service assistants"
'2022-11-05 23:00:35.508',"compassion","social and human service assistants"
'2022-11-05 23:00:35.508',"interpersonal","social and human service assistants"
'2022-11-05 23:00:35.508',"organizational","social and human service assistants"
'2022-11-05 23:00:35.508',"problem solving","social and human service assistants"
'2022-11-05 23:00:35.508',"time management","social and human service assistants"
'2022-11-05 23:00:35.508',"communication","social workers"
'2022-11-05 23:00:35.508',"emotional","social workers"
'2022-11-05 23:00:35.508',"interpersonal","social workers"
'2022-11-05 23:00:35.508',"organizational","social workers"
'2022-11-05 23:00:35.508',"problem solving","social workers"
'2022-11-05 23:00:35.508',"compassion","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:00:35.508',"interpersonal","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:00:35.508',"listening","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:00:35.508',"patience","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:00:35.508',"speaking","substance abuse behavioral disorder and mental health counselors"
'2022-11-05 23:00:35.508',"analytical","computer and information research scientists"
'2022-11-05 23:00:35.508',"communication","computer and information research scientists"
'2022-11-05 23:00:35.508',"critical thinking","computer and information research scientists"
'2022-11-05 23:00:35.508',"detail oriented","computer and information research scientists"
'2022-11-05 23:00:35.508',"ingenuity","computer and information research scientists"
'2022-11-05 23:00:35.508',"logical thinking","computer and information research scientists"
'2022-11-05 23:00:35.508',"math","computer and information research scientists"
'2022-11-05 23:00:35.508',"analytical","computer network architects"
'2022-11-05 23:00:35.508',"detail oriented","computer network architects"
'2022-11-05 23:00:35.508',"interpersonal","computer network architects"
'2022-11-05 23:00:35.508',"leadership","computer network architects"
'2022-11-05 23:00:35.508',"organizational","computer network architects"
'2022-11-05 23:00:35.508',"concentration","computer programmers"
'2022-11-05 23:00:35.508',"detail oriented","computer programmers"
'2022-11-05 23:00:35.508',"troubleshooting","computer programmers"
'2022-11-05 23:00:35.508',"listening","computer support specialists"
'2022-11-05 23:00:35.508',"problem solving","computer support specialists"
'2022-11-05 23:00:35.508',"speaking","computer support specialists"
'2022-11-05 23:00:35.508',"writing","computer support specialists"
'2022-11-05 23:00:35.508',"analytical","computer systems analysts"
'2022-11-05 23:00:35.508',"communication","computer systems analysts"
'2022-11-05 23:00:35.508',"creativity","computer systems analysts"
'2022-11-05 23:00:35.508',"analytical","database administrators"
'2022-11-05 23:00:35.508',"communication","database administrators"
'2022-11-05 23:00:35.508',"detail oriented","database administrators"
'2022-11-05 23:00:35.508',"problem solving","database administrators"
'2022-11-05 23:00:35.508',"analytical","information security analysts"
'2022-11-05 23:00:35.508',"detail oriented","information security analysts"
'2022-11-05 23:00:35.508',"ingenuity","information security analysts"
'2022-11-05 23:00:35.508',"problem solving","information security analysts"
'2022-11-05 23:00:35.508',"analytical","network and computer systems administrators"
'2022-11-05 23:00:35.508',"communication","network and computer systems administrators"
'2022-11-05 23:00:35.508',"multitasking","network and computer systems administrators"
'2022-11-05 23:00:35.508',"problem solving","network and computer systems administrators"
'2022-11-05 23:00:35.508',"analytical","software developers"
'2022-11-05 23:00:35.508',"communication","software developers"
'2022-11-05 23:00:35.508',"creativity","software developers"
'2022-11-05 23:00:35.508',"detail oriented","software developers"
'2022-11-05 23:00:35.508',"interpersonal","software developers"
'2022-11-05 23:00:35.508',"problem solving","software developers"
'2022-11-05 23:00:35.508',"mechanical","boilermakers"
'2022-11-05 23:00:35.508',"physical stamina","boilermakers"
'2022-11-05 23:00:35.508',"physical strength","boilermakers"
'2022-11-05 23:00:35.508',"unafraid of confined spaces","boilermakers"
'2022-11-05 23:00:35.508',"unafraid of heights","boilermakers"
'2022-11-05 23:00:35.508',"business","carpenters"
'2022-11-05 23:00:35.508',"math","carpenters"
'2022-11-05 23:00:35.508',"physical","carpenters"
'2022-11-05 23:00:35.508',"problem solving","carpenters"
'2022-11-05 23:00:35.508',"communication","construction and building inspectors"
'2022-11-05 23:00:35.508',"craft experience","construction and building inspectors"
'2022-11-05 23:00:35.508',"detail oriented","construction and building inspectors"
'2022-11-05 23:00:35.508',"mechanical knowledge","construction and building inspectors"
'2022-11-05 23:00:35.508',"physical stamina","construction and building inspectors"
'2022-11-05 23:00:35.508',"hand eye foot coordination","construction equipment operators"
'2022-11-05 23:00:35.508',"mechanical","construction equipment operators"
'2022-11-05 23:00:35.508',"physical strength","construction equipment operators"
'2022-11-05 23:00:35.508',"unafraid of heights","construction equipment operators"
'2022-11-05 23:00:35.508',"color vision","construction laborers and helpers"
'2022-11-05 23:00:35.508',"math","construction laborers and helpers"
'2022-11-05 23:00:35.508',"mechanical","construction laborers and helpers"
'2022-11-05 23:00:35.508',"physical stamina","construction laborers and helpers"
'2022-11-05 23:00:35.508',"physical strength","construction laborers and helpers"
'2022-11-05 23:00:35.508',"balance","drywall and ceiling tile installers and tapers"
'2022-11-05 23:00:35.508',"dexterity","drywall and ceiling tile installers and tapers"
'2022-11-05 23:00:35.508',"math","drywall and ceiling tile installers and tapers"
'2022-11-05 23:00:35.508',"physical stamina","drywall and ceiling tile installers and tapers"
'2022-11-05 23:00:35.508',"physical strength","drywall and ceiling tile installers and tapers"
'2022-11-05 23:00:35.508',"color vision","electricians"
'2022-11-05 23:00:35.508',"critical thinking","electricians"
'2022-11-05 23:00:35.508',"physical stamina","electricians"
'2022-11-05 23:00:35.508',"physical strength","electricians"
'2022-11-05 23:00:35.508',"troubleshooting","electricians"
'2022-11-05 23:00:35.508',"detail oriented","elevator installers and repairers"
'2022-11-05 23:00:35.508',"mechanical","elevator installers and repairers"
'2022-11-05 23:00:35.508',"physical stamina","elevator installers and repairers"
'2022-11-05 23:00:35.508',"physical strength","elevator installers and repairers"
'2022-11-05 23:00:35.508',"troubleshooting","elevator installers and repairers"
'2022-11-05 23:00:35.508',"color vision","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"customer service","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"detail oriented","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"math","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"physical stamina","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"physical strength","flooring installers and tile and marble setters"
'2022-11-05 23:00:35.508',"balance","glaziers"
'2022-11-05 23:00:35.508',"communication","glaziers"
'2022-11-05 23:00:35.508',"hand eye coordination","glaziers"
'2022-11-05 23:00:35.508',"physical stamina","glaziers"
'2022-11-05 23:00:35.508',"physical strength","glaziers"
'2022-11-05 23:00:35.508',"decisionmaking","hazardous materials remove workers"
'2022-11-05 23:00:35.508',"detail oriented","hazardous materials remove workers"
